,id,name,type,year,num_sections,num_paragraphs
561,561,C-541-08,C,2008,4,457
562,562,C-079-12,C,2012,7,108
563,563,T-243-03,T,2003,7,63
564,564,T-171-09,T,2009,3,394
565,565,T-449-13,T,2013,3,326
566,566,SU813-07,SU,2007,4,1119
567,567,T-620-09,T,2009,3,75
568,568,T-960-08,T,2008,4,166
569,569,T-512-03,T,2003,3,77
570,570,T-1269-08,T,2008,3,120
571,571,T-529-95,T,1995,2,51
572,572,T-278-95,T,1995,4,84
573,573,T-076-14,T,2014,3,84
574,574,T-1000-12,T,2012,6,266
575,575,T-124-20,T,2020,4,244
576,576,T-882-99,T,1999,3,43
577,577,T-549-07,T,2007,7,267
578,578,C-179-06,C,2006,5,140
579,579,C-395-02,C,2002,7,162
580,580,T-218-07,T,2007,3,148
581,581,T-497-09,T,2009,1,189
582,582,T-412-17,T,2017,3,297
583,583,T-627-00,T,2000,3,48
584,584,T-967-01,T,2001,4,207
585,585,T-590-14,T,2014,3,129
586,586,C-1300-05,C,2005,8,678
587,587,T-176-00,T,2000,2,55
588,588,T-216-02,T,2002,3,49
589,589,T-124-08,T,2008,3,83
590,590,C-626-03,C,2003,7,83
591,591,C-110-98,C,1998,6,71
592,592,C-245-09,C,2009,7,105
593,593,T-935-09,T,2009,3,230
594,594,T-547-02,T,2002,4,81
595,595,T-772-15,T,2015,4,480
596,596,T-832-14,T,2014,3,197
597,597,T-394-01,T,2001,4,75
598,598,T-244-22,T,2022,3,582
599,599,T-629-05,T,2005,0,32
600,600,T-969-04,T,2004,6,95
601,601,T-797-99,T,1999,2,73
602,602,T-171-21,T,2021,3,92
603,603,T-316-16,T,2016,5,295
604,604,T-118-97,T,1997,0,31
605,605,T-393-08,T,2008,5,246
606,606,T-447-16,T,2016,3,114
607,607,C-077-17,C,2017,9,2495
608,608,C-210-20,C,2020,6,599
609,609,T-932-00,T,2000,4,55
610,610,T-123-01,T,2001,3,41
611,611,T-294-15,T,2015,3,188
612,612,T-729-11,T,2011,5,199
613,613,C-319-10,C,2010,7,285
614,614,T-078-05,T,2005,3,134
615,615,T-294-01,T,2001,2,56
616,616,T-344-22,T,2022,3,431
617,617,T-123-15,T,2015,4,151
618,618,T-869-04,T,2004,4,90
619,619,T-420-99,T,1999,0,21
620,620,T-024-08,T,2008,2,115
621,621,T-043-93,T,1993,3,152
622,622,T-775-08,T,2008,3,166
623,623,T-835-09,T,2009,3,88
624,624,T-447-02,T,2002,3,99
625,625,C-741-98,C,1998,5,221
626,626,T-178-11,T,2011,4,162
627,627,T-772-01,T,2001,4,51
628,628,T-832-00,T,2000,2,136
629,629,T-1055-07,T,2007,5,139
630,630,T-023-01,T,2001,3,48
631,631,T-394-15,T,2015,3,167
632,632,T-969-10,T,2010,3,109
633,633,T-697-99,T,1999,3,55
634,634,T-071-21,T,2021,3,139
635,635,T-499-18,T,2018,6,448
636,636,T-018-97,T,1997,3,60
637,637,C-310-20,C,2020,3,385
638,638,T-547-16,T,2016,4,463
639,639,T-1026-02,T,2002,4,209
640,640,T-050-04,T,2004,3,85
641,641,T-454-95,T,1995,2,128
642,642,T-701-04,T,2004,2,254
643,643,T-841-05,T,2005,0,43
644,644,T-408-98,T,1998,2,69
645,645,T-089-17,T,2017,3,276
646,646,T-534-13,T,2013,2,499
647,647,T-683-07,T,2007,3,79
648,648,T-265-13,T,2013,3,585
649,649,T-157-19,T,2019,3,377
650,650,T-359-98,T,1998,2,36
651,651,T-150-10,T,2010,2,164
652,652,C-997-04,C,2004,6,206
653,653,T-601-10,T,2010,3,202
654,654,T-941-11,T,2011,4,162
655,655,T-059-20,T,2020,4,201
656,656,T-783-13,T,2013,6,520
657,657,T-434-07,T,2007,3,297
658,658,C-081-18,C,2018,7,279
659,659,T-1313-01,T,2001,2,97
660,660,T-365-07,T,2007,4,135
661,661,T-998-02,T,2002,3,74
662,662,T-508-98,T,1998,2,39
663,663,C-138-99,C,1999,6,109
664,664,T-1248-05,T,2005,3,126
665,665,C-1196-08,C,2008,7,186
666,666,T-365-13,T,2013,4,111
667,667,T-259-98,T,1998,0,123
668,668,T-554-95,T,1995,1,124
669,669,T-1214-08,T,2008,3,183
670,670,T-1126-02,T,2002,4,73
671,671,C-186-11,C,2011,3,406
672,672,T-601-04,T,2004,3,59
673,673,T-941-05,T,2005,4,167
674,674,T-089-03,T,2003,5,85
675,675,T-683-13,T,2013,3,282
676,676,T-534-07,T,2007,3,101
677,677,T-265-07,T,2007,3,128
